ST_NM,TYPE,MS_FB,MS_FB_PARE,WIKIDATA,ST_CODE,NAME_HI
Arunachal Pradesh,State,country:in/rajya-sabha-constituency:ar,country:in,Q57156443,AR,अरुणाचल प्रदेश
Assam,State,country:in/rajya-sabha-constituency:as,country:in,Q57156445,AS,असम
Bihar,State,country:in/rajya-sabha-constituency:br,country:in,Q57156446,BR,बिहार
Chhattisgarh,State,country:in/rajya-sabha-constituency:ct,country:in,Q57156448,CT,छत्तीसगढ़
Goa,State,country:in/rajya-sabha-constituency:ga,country:in,Q57156450,GA,गोआ
Gujarat,State,country:in/rajya-sabha-constituency:gj,country:in,Q57156451,GJ,गुजरात
Haryana,State,country:in/rajya-sabha-constituency:hr,country:in,Q57156453,HR,हरियाणा
Himachal Pradesh,State,country:in/rajya-sabha-constituency:hp,country:in,Q57156457,HP,हिमाचल प्रदेश
Jammu and Kashmir,State,country:in/rajya-sabha-constituency:jk,country:in,Q57156471,JK,जम्मू और कश्मीर
Jharkhand,State,country:in/rajya-sabha-constituency:jh,country:in,Q57156473,JH,झारखण्ड
Karnataka,State,country:in/rajya-sabha-constituency:ka,country:in,Q57156474,KA,कर्नाटक
Kerala,State,country:in/rajya-sabha-constituency:kl,country:in,Q57156475,KL,केरल
Madhya Pradesh,State,country:in/rajya-sabha-constituency:mp,country:in,Q57156477,MP,मध्य प्रदेश
Maharashtra,State,country:in/rajya-sabha-constituency:mh,country:in,Q57156481,MH,महाराष्ट्र
Manipur,State,country:in/rajya-sabha-constituency:mn,country:in,Q57156482,MN,मणिपुर
Meghalaya,State,country:in/rajya-sabha-constituency:ml,country:in,Q57156483,ML,मेघालय
Mizoram,State,country:in/rajya-sabha-constituency:mz,country:in,Q57156484,MZ,मिज़ोरम
Nagaland,State,country:in/rajya-sabha-constituency:nl,country:in,Q57156499,NL,नागालैण्ड
Delhi,Union Territory,country:in/rajya-sabha-constituency:dl,country:in,Q57156500,DL,दिल्ली
Puducherry,Union Territory,country:in/rajya-sabha-constituency:py,country:in,Q57156506,PY,पुदुच्चेरी
Punjab,State,country:in/rajya-sabha-constituency:pb,country:in,Q57156507,PB,पंजाब
Rajasthan,State,country:in/rajya-sabha-constituency:rj,country:in,Q57156509,RJ,राजस्थान
Sikkim,State,country:in/rajya-sabha-constituency:sk,country:in,Q57156510,SK,सिक्किम
Tamil Nadu,State,country:in/rajya-sabha-constituency:tn,country:in,Q57156513,TN,तमिल नाडु
Telangana,State,country:in/rajya-sabha-constituency:tg,country:in,Q57156514,TG,तेलंगाना
Tripura,State,country:in/rajya-sabha-constituency:tr,country:in,Q57156531,TR,त्रिपुरा
Uttar Pradesh,State,country:in/rajya-sabha-constituency:up,country:in,Q57156533,UP,उत्तर प्रदेश
Uttarakhand,State,country:in/rajya-sabha-constituency:ut,country:in,Q57156536,UT,उत्तराखण्ड
West Bengal,State,country:in/rajya-sabha-constituency:wb,country:in,Q57156537,WB,पश्चिम बंगाल
Odisha,State,country:in/rajya-sabha-constituency:or,country:in,Q57156502,OR,ओडिशा
Andhra Pradesh,State,country:in/rajya-sabha-constituency:ap,country:in,Q57156441,AP,आन्ध्र प्रदेश
